lecturer_code,name,email
lect_aclt_1,ACLT Lecturer 1,aclt.1@science.kln.ac.lk
lect_amat_1,AMAT Lecturer 1,amat.1@science.kln.ac.lk
lect_apch_1,APCH Lecturer 1,apch.1@science.kln.ac.lk
lect_apch_2,APCH Lecturer 2,apch.2@science.kln.ac.lk
lect_apch_3,APCH Lecturer 3,apch.3@science.kln.ac.lk
lect_becs_1,BECS Lecturer 1,becs.1@science.kln.ac.lk
lect_becs_2,BECS Lecturer 2,becs.2@science.kln.ac.lk
lect_bioc_1,BIOC Lecturer 1,bioc.1@science.kln.ac.lk
lect_biol_1,BIOL Lecturer 1,biol.1@science.kln.ac.lk
lect_bsss_1,BSSS Lecturer 1,bsss.1@science.kln.ac.lk
lect_chem_1,CHEM Lecturer 1,chem.1@science.kln.ac.lk
lect_cosc_1,COSC Lecturer 1,cosc.1@science.kln.ac.lk
lect_cost_1,COST Lecturer 1,cost.1@science.kln.ac.lk
lect_delt_1,DELT Lecturer 1,delt.1@science.kln.ac.lk
lect_elec_1,ELEC Lecturer 1,elec.1@science.kln.ac.lk
lect_elec_2,ELEC Lecturer 2,elec.2@science.kln.ac.lk
lect_elec_3,ELEC Lecturer 3,elec.3@science.kln.ac.lk
lect_encm_1,ENCM Lecturer 1,encm.1@science.kln.ac.lk
lect_encm_2,ENCM Lecturer 2,encm.2@science.kln.ac.lk
lect_fren_1,FREN Lecturer 1,fren.1@science.kln.ac.lk
lect_gesr_1,GESR Lecturer 1,gesr.1@science.kln.ac.lk
lect_gnct_1,GNCT Lecturer 1,gnct.1@science.kln.ac.lk
lect_inte_1,INTE Lecturer 1,inte.1@science.kln.ac.lk
lect_inte_2,INTE Lecturer 2,inte.2@science.kln.ac.lk
lect_jpns_1,JPNS Lecturer 1,jpns.1@science.kln.ac.lk
lect_kore_1,KORE Lecturer 1,kore.1@science.kln.ac.lk
lect_macs_1,MACS Lecturer 1,macs.1@science.kln.ac.lk
lect_maps_1,MAPS Lecturer 1,maps.1@science.kln.ac.lk
lect_mbbt_1,MBBT Lecturer 1,mbbt.1@science.kln.ac.lk
lect_mgmt_1,MGMT Lecturer 1,mgmt.1@science.kln.ac.lk
lect_mgte_1,MGTE Lecturer 1,mgte.1@science.kln.ac.lk
lect_mibi_1,MIBI Lecturer 1,mibi.1@science.kln.ac.lk
lect_phys_1,PHYS Lecturer 1,phys.1@science.kln.ac.lk
lect_plbl_1,PLBL Lecturer 1,plbl.1@science.kln.ac.lk
lect_pmat_1,PMAT Lecturer 1,pmat.1@science.kln.ac.lk
lect_prpl_1,PRPL Lecturer 1,prpl.1@science.kln.ac.lk
lect_seng_1,SENG Lecturer 1,seng.1@science.kln.ac.lk
lect_seng_2,SENG Lecturer 2,seng.2@science.kln.ac.lk
lect_seng_3,SENG Lecturer 3,seng.3@science.kln.ac.lk
lect_stat_1,STAT Lecturer 1,stat.1@science.kln.ac.lk
lect_zool_1,ZOOL Lecturer 1,zool.1@science.kln.ac.lk
